code,split,label,regime
094858f005ab,train,2,dim
917f76f360b6,train,2,dim
5ed6dc419e4d,train,2,dim
c6a2975228af,train,2,dim
a15652b22ab8,train,2,well-lit
79ce83c07588,train,1,well-lit
c027e5482e8c,train,1,well-lit
01b3aed3ed4c,train,1,well-lit
b89938407ee6,train,2,well-lit
8a759f94613a,train,2,uneven
ed2c06fcc573,train,2,well-lit
ab1c20a94f3f,train,4,uneven
ba735b286d62,train,4,well-lit
7b8c78b41c0d,train,2,dim
d6130f2ec903,train,0,dim
e07045d7c5f7,train,1,well-lit
2cef97083e6f,train,2,well-lit
ba2ea9182090,train,0,well-lit
75ed83dbccce,train,0,uneven
248139c423c4,train,1,uneven
bacfb1029f6b,train,1,well-lit
ea5c42a78979,train,0,uneven
94372043d55b,train,1,well-lit
5ac7a414560e,train,0,uneven
8a67f1efa315,train,2,uneven
dee1031a76ae,train,0,dim
e8ddfc9709ce,train,0,uneven
5b5b80a3edee,train,4,well-lit
c26f98f58350,train,0,uneven
1638404f385c,train,4,well-lit
3f5b4c2948e8,train,2,uneven
152db3de8120,train,0,uneven
5a179c123fd8,train,0,dim
5d5b5da5f939,train,0,uneven
cfed7c1172ec,train,0,uneven
2f2e1949ad56,train,1,well-lit
a62ea0043aa7,train,2,well-lit
e4dcca36ceb4,train,0,uneven
7a3ea1779b13,train,1,well-lit
ef81cd8854cb,train,0,uneven
f850cb51fdba,train,4,well-lit
b7bd4a6627b6,train,0,uneven
7e6e90a93aa5,train,2,well-lit
7e0598cc88a0,train,4,well-lit
fc4c2d35c6f8,train,2,well-lit
1116271db4ea,train,1,well-lit
abf09c44d5f4,train,2,well-lit
53273d664cd8,train,0,uneven
318eb706a134,train,0,well-lit
38f1901f214a,train,0,dim
a3ad6c2db6f1,train,1,well-lit
674057ab250c,train,2,dim
ab653b8554c0,train,0,uneven
e19936582c61,train,3,uneven
12ae44be0d38,train,0,uneven
e7578d8dba72,train,0,well-lit
28f73575e1f2,train,0,well-lit
7569ac24762e,train,0,dim
72606afaf3da,train,0,dim
4c570172778b,train,3,well-lit
50916d67bb51,train,0,uneven
f5733f77273d,train,0,dim
e12df54e0d1e,train,0,well-lit
ddb222ff7c1d,train,0,well-lit
3b0190bbe615,train,0,uneven
8ffa608170d3,train,0,dim
fc898dfeb24f,train,0,dim
8421107255ae,train,2,uneven
2ef4a04aed1b,train,0,uneven
71e4130bf5c8,train,2,well-lit
4b5ffea77373,train,2,well-lit
6253f23229b1,train,3,dim
913490237ad4,train,3,well-lit
757e39293591,train,0,well-lit
edceb0657d77,train,0,uneven
486e852a3b4d,train,0,dim
aa6673241154,train,4,well-lit
7f60f2a083d3,train,1,well-lit
203275daf46d,train,2,dim
18b7e34eab8f,train,0,uneven
eabf421f94d0,train,0,uneven
b640e3bdff75,train,1,well-lit
5f6db235c04d,train,0,uneven
bff51afc76d4,train,0,dim
d6283ded6aea,train,2,well-lit
881ec6186e68,train,0,uneven
e246cd89e1cc,train,0,well-lit
d18b1d8ac4de,train,2,uneven
9be0683649ff,train,0,well-lit
529906ff9dfa,train,0,uneven
6b128e648646,train,3,uneven
165cd2070ebd,train,4,dim
810ed108f5b7,train,0,well-lit
bd375ba756b1,train,0,well-lit
2fefb720869a,train,0,uneven
c613db1cab27,train,2,well-lit
d9311f7497cb,train,2,well-lit
378963f9df22,train,4,well-lit
fa7fa797c650,train,0,uneven
f85fd4fac887,train,0,dim
32a3eb37ff40,train,2,uneven
3bf3085ac167,train,0,uneven
63a03880939c,train,1,well-lit
5486da4273d7,train,2,well-lit
df0886f1e76b,train,0,uneven
f48241b0c995,train,0,uneven
a70d0f12a641,train,0,uneven
8ead17dfb6a6,train,0,well-lit
bf8092e4001d,train,3,uneven
946545473380,train,0,well-lit
bf811911acf9,train,0,uneven
6852f4531591,train,0,uneven
0c76fd494af6,train,2,uneven
d035c2bd9104,train,3,well-lit
96b5474ae604,train,0,uneven
c3d12a23f451,train,4,dim
26d9576e8043,train,0,well-lit
66a0bf258013,train,4,dim
00e4ddff966a,train,2,uneven
0fc6829da85b,train,0,dim
fa59221cf464,train,4,dim
7b87b0015282,train,0,uneven
30941b65348b,train,1,uneven
2c1d5be654dd,train,2,dim
7663aba8d762,train,2,uneven
11b220a397b8,train,0,uneven
613bacb35c05,train,1,well-lit
9bbb6c455913,train,0,uneven
e966850247f4,train,0,uneven
19ef4d292196,train,4,well-lit
bf7221a016b5,train,0,well-lit
930fee99213a,train,0,uneven
b70cb31b9abb,train,4,well-lit
976082127e2a,train,0,uneven
e724866f5084,train,2,well-lit
e3e490babc0c,train,2,uneven
530d78467615,train,2,dim
405b4f78658f,train,3,dim
d16e59a2b33a,train,0,uneven
9ac2e3e9fca5,train,0,uneven
a8b3c0961d42,train,0,dim
92fcf50b3562,train,0,uneven
9bf060db8376,train,3,well-lit
f999c6921e6d,train,2,dim
417f408ee8e0,train,2,dim
1a1e974a7dbf,train,0,uneven
86410aa13b3e,train,0,uneven
2ef955d6d9ff,train,0,well-lit
1a369baf9ee6,train,2,well-lit
478fc46eaa49,train,0,uneven
ef247f28004f,train,0,uneven
2b21d293fdf2,train,2,dim
2ecbc2e3f239,train,1,well-lit
ad93d88c87ea,train,0,uneven
16060f05d047,train,0,well-lit
72a867980067,train,0,dim
74898f372d2b,train,0,dim
51030843fde2,train,2,well-lit
03747397839f,train,2,uneven
345b1f0abbba,train,0,well-lit
d88c4843aec3,train,0,uneven
41ab357d103f,train,0,well-lit
beeca5f14618,train,0,dim
a86128b601a7,train,0,uneven
cf8ae5501bd6,train,0,uneven
0eced86c9db8,train,0,uneven
fa573163dd8b,train,0,uneven
7e9458de5707,train,2,dim
a66c3165876f,train,2,well-lit
fe06dad6851c,train,0,well-lit
b90bc89ce8d8,train,4,dim
876e1dd12d38,train,2,uneven
f994a3b07935,train,0,uneven
4cddfc22b0ad,train,0,dim
4df6a81b476e,train,3,dim
f0a2dc580009,train,0,well-lit
63b71347e95d,train,0,well-lit
e82232a3c28b,train,0,uneven
c80f79579fed,train,2,uneven
af831c158744,train,2,well-lit
8acdf12f412a,train,0,uneven
f3a4751af42e,train,0,well-lit
1ae8c165fd53,train,2,well-lit
10bf25731c08,train,0,uneven
91cbe1c775ef,train,2,well-lit
873dcc0b468f,train,4,well-lit
f80118bbda18,train,2,dim
6efa36d59ada,train,3,dim
404ede327e98,train,0,well-lit
61bbe8db6f3a,train,1,well-lit
f26b02ead915,train,0,uneven
a5a2a7003d60,train,1,uneven
14c3b41d289c,train,0,well-lit
222d0ac042b4,train,2,well-lit
53327edb9e4d,train,0,uneven
1c3a6b4449e9,train,1,well-lit
0cd31078cd08,train,0,well-lit
f0e1201b5c1f,train,0,well-lit
d10ef306996b,train,4,uneven
f00ce9b9d6f4,train,0,uneven
210bfe0127c6,train,0,dim
7b691d9ced34,train,0,well-lit
fcc32dffd24d,train,0,well-lit
bc73ce76ec43,train,1,uneven
54f57cf26126,train,0,well-lit
956765d5f46d,train,0,well-lit
ad20080452de,train,0,uneven
3a61e690f4bb,train,2,uneven
4eaf2f81819d,train,0,uneven
e9129ce55fd7,train,2,dim
d659d7fd5ccf,train,4,well-lit
18b06f56ab27,train,1,uneven
f55e1d2a19e4,train,1,well-lit
d7bc62d60e8c,train,0,well-lit
799214e8b07c,train,0,uneven
5a11d21c2828,train,2,well-lit
63c3c571b8ee,train,2,uneven
fb61230b99dd,train,3,well-lit
6324d77cf926,train,0,uneven
a61723fc38c2,train,0,uneven
e25ccfe38e44,train,1,dim
5ead17e894ae,train,0,dim
b83a6eca125f,train,2,well-lit
5f70ad48a525,train,2,well-lit
77543f66a84a,train,2,well-lit
3a4cfea0a766,train,0,uneven
a721efb1e049,train,2,uneven
07596907347b,train,0,uneven
bfda2fd0533a,train,2,well-lit
42985aa2e32f,train,0,well-lit
ae8472f8d310,train,1,uneven
d2fb715b0c41,train,0,well-lit
fb88783de055,train,0,uneven
03b373718013,train,0,uneven
81b0a2651c45,train,2,dim
d2c2f02bb313,train,4,well-lit
91cf56d3d1af,train,3,well-lit
4294a14c656a,train,3,uneven
81914ceb4e74,train,0,uneven
df5ce3ea7820,train,2,uneven
878e356c8fc9,train,0,uneven
73ef3c3dcbe4,train,0,dim
4dd7b322f342,train,0,well-lit
00cb6555d108,train,1,well-lit
b71428739d4e,train,1,well-lit
4e231670b48c,train,0,uneven
54cab3596214,train,2,uneven
4a1afe4044f4,train,0,well-lit
ab686895533e,train,0,uneven
5f13e8a07344,train,3,well-lit
f8372e80f731,train,2,uneven
9bafbbd152d2,train,3,dim
9c514d2d5b3f,train,0,uneven
76e6a9238570,train,2,uneven
6e861bc3bd7b,train,0,uneven
cd3fd04d72f5,train,2,dim
5173d54fc214,train,2,uneven
0b3efe669365,train,0,dim
03ff7d159f10,train,2,well-lit
ae975c43bd8b,train,0,uneven
42b08dca9b2f,train,2,well-lit
00f6c1be5a33,train,0,uneven
9f37c98b8187,train,3,dim
9870ce41cac4,train,0,well-lit
a8a6588c8eb7,train,0,uneven
c7c3d363bc86,train,0,well-lit
83d6e40c869f,train,2,uneven
62318d514160,train,4,well-lit
f901d460517c,train,3,well-lit
2fdffb6160a6,train,2,well-lit
504a69096fcb,train,0,uneven
7269a1d84a57,train,0,dim
29192375ab1b,train,0,dim
8543a801dce0,train,2,well-lit
01f7bb8be950,train,0,dim
419406328dcd,train,2,well-lit
a987aa7aac37,train,0,uneven
d473f6fafba0,train,2,dim
64fedbf97473,train,4,dim
44976c3b11a6,train,0,dim
25b0e72705a8,train,3,dim
d968a983d4d2,train,2,well-lit
c8905b8d5cf1,train,2,dim
17eff993386f,train,1,uneven
ef7a4ed8d5d1,train,2,well-lit
281d7b7c7676,train,4,well-lit
573ea80a53be,train,0,uneven
873fe0404d6e,train,2,dim
753b14c27c83,train,4,dim
9a1029536d78,train,0,uneven
dee687c6e88a,train,2,uneven
2221cf5c7935,train,0,well-lit
f2c0b41acd05,train,0,well-lit
0bf37ca3156a,train,4,dim
ead23cc922ed,train,1,well-lit
9e3510963315,train,4,well-lit
2a099b247b10,train,2,uneven
2bbcfdc477db,train,4,uneven
ad3fc5076852,train,1,well-lit
94f9ecf4b8d2,train,0,dim
668a319c2d23,train,0,uneven
838b3e4d0bb4,train,0,dim
4f60129e9a5b,train,2,uneven
9a3109657ac1,train,1,well-lit
fefded6bf135,train,0,dim
992599744a23,train,0,dim
916915f01e17,train,0,uneven
ee059945b08a,train,2,dim
34a7dbd3f05c,train,0,uneven
7b9d519cbd66,train,0,dim
3dfc50108072,train,2,uneven
260a455692b5,train,0,dim
d3e884109b45,train,3,dim
b1b3e7d0a5f3,train,4,well-lit
401fdfd0db07,train,0,uneven
28dc010a0780,train,0,uneven
e7a372a1c3a4,train,2,well-lit
0f364b7d4384,train,0,dim
33b893e18eb3,train,1,uneven
3128eb593012,train,2,dim
59928f999ae7,train,0,well-lit
24b943fe725e,train,1,well-lit
974c7d7b9c64,train,0,uneven
2b5bb6d33959,train,0,uneven
874f8c1929f6,train,0,uneven
ac5b5dddf91b,train,2,well-lit
11242a67122d,train,4,well-lit
7ae69d22075a,train,1,uneven
d94e10f42861,train,2,uneven
f3bb996b45ce,train,0,uneven
d2cd47ed2c1d,train,0,well-lit
3044022c6969,train,1,uneven
7ba6b23c4b46,train,0,dim
b835b6e31a59,train,0,uneven
9a4f370d341b,train,2,uneven
7bc2e0fa3f72,train,2,dim
19e350c7c83c,train,1,uneven
9785805af1b8,train,2,well-lit
fa9f1bc03f21,train,0,well-lit
ff631653374e,train,0,well-lit
22325552a4e3,train,1,well-lit
7eeb191ad06b,train,0,uneven
f002ce614c59,train,0,dim
1c13a1483f4a,train,0,uneven
b960142a8de7,train,3,well-lit
3908b3cfd620,train,0,uneven
1ab3f1c71a5f,train,3,uneven
547b37da9223,train,2,well-lit
7e4019ac7f5a,train,4,uneven
b99794a0beed,train,2,uneven
fb767cea406c,train,0,dim
39b5b05d6cd9,train,2,dim
7356dd08b0ae,train,2,well-lit
de778495a1cd,train,2,uneven
6d454444f17c,train,2,uneven
7435e9a3e36e,train,0,dim
a73c3d516c59,train,0,dim
18af532e7e1e,train,2,dim
e499434242cc,train,2,well-lit
cc12453ea915,train,1,well-lit
b87f9c59748b,train,4,uneven
da0a1043abf7,train,2,uneven
a673193cd5a9,train,0,uneven
acc9f29538c4,train,2,uneven
47d1603a555b,train,1,uneven
ad1aa75d5630,train,0,uneven
2df07eb5779f,train,4,uneven
0a61bddab956,train,1,uneven
15e24b73d4a7,train,0,well-lit
9b0eb9f41da4,train,2,dim
999ad827ed35,train,0,uneven
c18a006f7f1d,train,0,uneven
9e2a8135f471,train,0,uneven
db49cdf1ea64,train,2,well-lit
08f8838d69bb,train,0,uneven
3ee4841936ef,train,4,well-lit
847b04287c9c,train,0,uneven
a06a63d866b2,train,0,uneven
cd9e2190c73f,train,2,well-lit
b0f8613305a3,train,0,dim
c2d2b4f536da,train,2,uneven
ae2e888905ba,train,0,uneven
60aa4e649abf,train,0,dim
61ac9b0dc6b9,train,2,well-lit
e76a9cbb2a8c,train,3,well-lit
b70e7c26f51e,train,0,uneven
90b8bf342032,train,3,uneven
4e8585a96739,train,0,dim
54334705a34d,train,0,uneven
8b079e79035f,train,0,well-lit
b762c29cf2f3,train,2,well-lit
c6229222bf22,train,0,uneven
0773a1c326ad,train,0,dim
bcdc8db5423b,train,2,well-lit
42a67337fa8e,train,2,dim
54b322c66d01,train,0,uneven
79ade634c633,train,0,dim
dea7538bb91a,train,0,dim
0d0b8fc9ab5c,train,0,well-lit
48c49f662f7d,train,2,dim
799cb4c816ae,train,2,uneven
283c3aeba594,train,0,well-lit
d7078e8b0349,train,0,well-lit
103abbd8b63e,train,0,uneven
026dcd9af143,train,2,dim
a7b03e58a6e1,train,0,well-lit
cff262ed8f4c,train,0,well-lit
db6207e62c7b,train,0,uneven
ae20112e7a1e,train,0,dim
a2ddabee14e9,train,4,well-lit
6cffc6c6851a,train,0,well-lit
9fefe2b44795,train,3,well-lit
79540be95177,train,2,well-lit
9b7b6e4db1d5,train,2,well-lit
499c8df39222,train,4,well-lit
465c618f7b23,train,2,well-lit
4bd5d0b30198,train,0,uneven
d807c53c1399,train,0,uneven
658ad9f09f5d,train,0,well-lit
4528fbbd43a3,train,0,uneven
ff4955e76894,train,0,well-lit
291e2ff3d834,train,2,uneven
6180920bc224,train,0,uneven
338326891d84,train,0,well-lit
65a3b13ad9a0,train,0,dim
7f84284598f5,train,2,dim
cc671a73e1cb,train,0,uneven
03fd50da928d,train,2,uneven
8a81f62320d6,train,0,uneven
92587e494d51,train,0,well-lit
7a12f49e29df,train,0,dim
d2c6b99ef62c,train,2,well-lit
0cae727cf119,train,0,uneven
936299166bea,train,0,uneven
a7b7dc8788b9,train,2,uneven
6d6fcf49e515,train,0,uneven
44e0d56e9d42,train,2,uneven
e1418d28d668,train,2,dim
83df53d58f28,train,0,uneven
29580bed2f7d,train,2,uneven
525d0dd8dc45,train,0,dim
8db2ce991101,train,4,dim
0953c0ac1735,train,2,well-lit
0981195eb9fb,train,4,dim
cbd0870aa933,train,4,well-lit
9c893e16c055,train,0,uneven
3b232b394e4f,train,4,uneven
c7b622ec8104,train,1,well-lit
0415fc68b176,train,2,dim
7fdb177b8f7d,train,0,well-lit
df9cb3729eb1,train,0,well-lit
f7508f14dd7b,train,0,well-lit
dfc7ec7db0e0,train,0,uneven
217dad18a5ed,train,2,well-lit
e6a5e4718873,train,0,uneven
6fe4751a3b42,train,0,uneven
3c326543fff6,train,0,uneven
6987804eb464,train,2,uneven
bb85097857fa,train,0,uneven
d1cad012a254,train,1,well-lit
720b5f62ce80,train,0,dim
7d48f8cdfb69,train,0,well-lit
495255c7492f,train,1,well-lit
49a4765f8822,train,2,well-lit
a1822dd8d05d,train,0,uneven
0ac436400db4,train,2,dim
052d9a3fe55a,train,2,dim
b91ef82e723a,train,2,uneven
13d71389563f,train,2,well-lit
b498b84d383f,train,2,well-lit
8d8aca52c07b,train,4,uneven
b7a1bb106051,train,0,uneven
8693ab1fd2be,train,0,dim
4c53cc97ea13,train,0,dim
1d29cb2f4296,train,0,dim
3f3de2a6b0f5,train,2,well-lit
f66c4ee86629,train,0,dim
61bbc11fe503,train,4,uneven
0709652336e2,train,0,uneven
ab7991df166b,train,0,dim
d10d315f123f,train,2,well-lit
e1900014dabf,train,3,well-lit
be161517d3ac,train,2,well-lit
8f14bca04b47,train,0,well-lit
1ffaa51a6245,train,2,uneven
c5a9ebef1517,train,3,dim
15b21c80cc31,train,0,uneven
6c315ad3d07f,train,2,uneven
4f6abc40c72d,train,0,well-lit
cffc50047828,train,0,uneven
f6f433f3306f,train,3,dim
5a93c0f783c4,train,0,dim
bc92a61a1f9c,train,0,uneven
d2901144070c,train,4,well-lit
5f4a8c074bd5,train,0,uneven
abe940882578,train,0,uneven
cd972e5639e0,train,4,well-lit
3b10191dfd25,train,0,dim
e322acd46152,train,0,dim
1e4650743fa2,train,2,uneven
b7e0f95353f2,train,3,uneven
0cb6b898389f,train,0,uneven
f7116e7b2f4e,train,0,uneven
77ab222bf85c,train,0,uneven
2532613a584a,train,2,well-lit
1f3f32efaf20,train,0,uneven
8273fdb4405e,train,1,well-lit
abdb365cacbc,train,1,well-lit
db4ed1e07aa3,train,1,dim
2a4520f1f9a3,train,0,uneven
a3706ce27869,train,2,uneven
164cd5a3a6cd,train,0,dim
d9e58e4d8689,train,0,well-lit
c56e65f74187,train,1,dim
a07d571bf7ba,train,0,dim
9f285b3e57ed,train,0,uneven
0f495d87656a,train,1,dim
e5f332efcbc7,train,0,dim
b8f1b30877db,train,2,dim
ab3c505b624f,train,0,uneven
14ee87d6cc42,train,2,well-lit
82d364726a58,train,0,dim
5e7cc6ab4ac4,train,2,well-lit
1594ca6c30d3,train,2,uneven
4b237b958555,train,0,uneven
bb783d8e496f,train,1,uneven
09c8323c612e,train,0,uneven
5548a7961a3e,train,1,dim
a9e984b57556,train,3,dim
e38f3a65b02b,train,1,well-lit
274f4de2a59d,train,0,uneven
3d3e288d490e,train,2,well-lit
a247961a5cd9,train,0,uneven
71a39c660432,train,3,well-lit
7427dedafccf,train,1,well-lit
0abf0c485f66,train,0,well-lit
ef5155990874,train,0,uneven
d85ea1220a03,train,4,dim
ba4d2c4b3039,train,4,dim
42b9c1977681,train,0,uneven
de50dfa745f8,train,2,dim
a125377fb985,train,2,uneven
5712e2aa73a2,train,1,well-lit
4c60f6fcea75,train,0,dim
2bbd1f99ecc3,train,3,well-lit
612f2df37a1d,train,4,well-lit
aa9b8f05f4bf,train,2,well-lit
41345cec5957,train,0,dim
a47878630dc2,train,2,dim
4ef0b485a7da,train,2,well-lit
35cd9832fc0a,train,0,uneven
a07d9a5045cb,train,0,uneven
675de69373f8,train,0,uneven
b73d0bcd3d33,train,0,dim
b310bd564329,train,3,uneven
582f739b8f62,train,2,dim
1c5e6cdc7ee1,train,2,well-lit
bf9cba745efc,train,2,uneven
26d60db3bbfd,train,0,dim
bfaa0080ab61,train,2,well-lit
6e018411ba4a,train,0,well-lit
3601dac9bed7,train,0,dim
e2161692a0b4,train,2,dim
f0c0f7b5e820,train,2,well-lit
99e8bf998285,train,2,well-lit
523b3f0fc646,train,1,dim
d39752cb6e57,train,0,uneven
0a38b552372d,train,0,uneven
5a2c27b95c7c,train,2,dim
e2ec22b3d07e,train,0,dim
a02dfd67a925,train,0,dim
8c4ceddeb1c6,train,0,dim
22ce8ef69357,train,2,well-lit
cf603a9ef2d5,train,1,well-lit
cf0824f53dd9,train,2,uneven
d0d59ed675b5,train,1,well-lit
4e6071b73120,train,1,dim
f451eee2b66b,train,0,uneven
4b1001050f1d,train,2,well-lit
78d53c82a23e,train,2,uneven
c5a6f432a1ec,train,0,well-lit
e47770a2e5d1,train,0,dim
aeccef0bdc26,train,0,well-lit
e52ed5c29c5e,train,3,uneven
93802d1e3c41,train,0,uneven
d25b8a8ad3c4,train,2,dim
093cf723fede,train,0,uneven
4d17559ac1e2,train,0,dim
ff03f74667df,train,0,well-lit
d48178e4a49b,train,4,well-lit
7b211d8bd249,train,4,well-lit
ccd6dcb2f568,train,0,dim
2cceb07ff706,train,2,uneven
b0d35981708b,train,2,uneven
ceb601fe8dba,train,2,dim
b77b8a1f09f1,train,4,uneven
2fe06bedb2c4,train,4,uneven
e23add229074,train,4,uneven
b9519abce0c1,train,0,uneven
aad0c0ee9268,train,2,uneven
354b8911d6ed,train,2,well-lit
cca626a0e19a,train,2,well-lit
a9dc80cba9a4,train,0,dim
24f3e70f0419,train,0,dim
8c87bd748996,train,2,well-lit
11d8e5eaee5b,train,0,uneven
04a6fc58dabc,train,2,dim
bd9904495ccd,train,4,uneven
7a9f45fdf29b,train,0,uneven
29a13e666266,train,0,well-lit
d85a842d20bd,train,2,well-lit
5d4e5fd34d91,train,0,uneven
a963ac561580,train,0,well-lit
84e8c62165b5,train,2,uneven
f58cdfa968be,train,0,well-lit
7e160c8b611e,train,3,well-lit
2a47e5b21791,train,2,well-lit
7526c59c36d3,train,0,well-lit
da1fb35f5df9,train,1,well-lit
4ee1ad981a6d,train,2,well-lit
4dd5d5ccddcf,train,1,well-lit
5db895d3f1fc,train,0,well-lit
6bb30ec3231a,train,0,uneven
a9e3d186cd1b,train,0,well-lit
61a62b1dcc36,train,0,dim
9a496b1e20f9,train,4,dim
2408799a09b2,train,0,uneven
bde1063a5dd7,train,0,well-lit
eb6b1f1c09db,train,0,uneven
b2b79b37d314,train,0,uneven
fe674c2f73f5,train,1,well-lit
7f6690fa390a,train,0,dim
cfdbaef73a8b,train,0,dim
e6552b7432b3,train,0,uneven
b9b6ee2b9453,train,2,well-lit
0ceb222f6629,train,4,well-lit
9f1efb799b7b,train,2,well-lit
c102db7634d8,train,1,uneven
fd62bd0db4f1,train,1,dim
b468ebf5cb11,train,2,uneven
5327f88a1919,train,2,dim
8b58f9a338e8,train,0,well-lit
